"['thinspo', 'thinsperation', 'tw ed', 'bonespo']",[]
"['thinspo', 'thin$po', 'thin$p0', 'thinsperation', 'thighgap', 'th1n$po', 'skinny', 'skinnyyy', 'skinnyinspo', 'sk1nnie', 'low cal meal', 'lowcalmeal', 'low restriction', 'lowrestriction', 'anadiet', 'ed', 'eddiet']",[]
"['thinspo', 'thinsperation', 'tw ed', 'bonespo', 'ed thoughts']",[]
"['my life', 'motivation', 'thinsperation']",[]
"['getting skiny', 'thinsperation', 'block don’t report', 'only pr0 for myself', 'losing weight', 'thin inspo', 'eating problems', 'not pr0 4n4', 'an0r3xia', 'anorecsick', 'anorekic', 'bulimina', 'th1nspiration', '4norex1c', 'e4ting dis0rder']",[]
"['getting skiny', 'thinsperation', 'block don’t report', 'only pr0 for myself', 'losing weight', 'thin inspo', 'eating problems', 'not pr0 4n4', 'an0r3xia', 'anorecsick', 'anorekic', 'bulimina', 'th1nspiration', '4norex1c', 'e4ting dis0rder']",[]
"['thinspo', 'ed thoughts', 'ed ballet', 'tw ed', 'thinsperation']",[]
"['thinkin thots', 'pr04na', 'just pro for myself', 'thinsperation']",[]
"['3dtumblr', '3dtwt', 'thinsperation', '4na fast', 'i will be skiny', 'sk1nny aesthetic']",[]
"['3dtwt', 'thinsperation', 'i will be skiny', 'skinnni', 'sk1nny aesthetic', '4na fast']",[]
"['3dtwt', 'thinsperation', 'ricecaketwt', 'sk1nnie', 'sk1nny aesthetic']",[]
"['thinspo', 'ana', 'notprojusttags', 'eating problems', 'thinsperation', 'ana tips', ""don't eat"", 'skin and bones']",[]
"['thinspo', 'pretty girls dont eat', 'pr0anna', 'i will be skiny', 'thinsperation', 'thinsp0', 'ed', 'twed', 'tw ed relapse', 'tw ed rant']",[]
"['thinsperation', 'aesthetic', 'pastel', 'photography', 'grunge', 'soft grunge', 'weight', 'disordered eating', 'fashion insperation', 'model thin', 'buliima', 'thin inspo', 'ana', 'pro anoxeria', 'thinspo', 'self harm', 'tw triggers']",[]
"['thinspo', 'thinsperation', 'tw ed', 'bonespo']",[]
"['thinspo', 'thin$po', 'thin$p0', 'thinsperation', 'thighgap', 'th1n$po', 'skinny', 'skinnyyy', 'skinnyinspo', 'sk1nnie', 'low cal meal', 'lowcalmeal', 'low restriction', 'lowrestriction', 'anadiet', 'ed', 'eddiet']",[]
"['thinspo', 'thinsperation', 'tw ed', 'bonespo', 'ed thoughts']",[]
"['my life', 'motivation', 'thinsperation']",[]
"['getting skiny', 'thinsperation', 'block don’t report', 'only pr0 for myself', 'losing weight', 'thin inspo', 'eating problems', 'not pr0 4n4', 'an0r3xia', 'anorecsick', 'anorekic', 'bulimina', 'th1nspiration', '4norex1c', 'e4ting dis0rder']",[]
"['getting skiny', 'thinsperation', 'block don’t report', 'only pr0 for myself', 'losing weight', 'thin inspo', 'eating problems', 'not pr0 4n4', 'an0r3xia', 'anorecsick', 'anorekic', 'bulimina', 'th1nspiration', '4norex1c', 'e4ting dis0rder']",[]
"['thinspo', 'ed thoughts', 'ed ballet', 'tw ed', 'thinsperation']",[]
"['thinkin thots', 'pr04na', 'just pro for myself', 'thinsperation']",[]
"['3dtumblr', '3dtwt', 'thinsperation', '4na fast', 'i will be skiny', 'sk1nny aesthetic']",[]
"['3dtwt', 'thinsperation', 'i will be skiny', 'skinnni', 'sk1nny aesthetic', '4na fast']",[]
"['3dtwt', 'thinsperation', 'ricecaketwt', 'sk1nnie', 'sk1nny aesthetic']",[]
"['thinspo', 'ana', 'notprojusttags', 'eating problems', 'thinsperation', 'ana tips', ""don't eat"", 'skin and bones']",[]
"['thinspo', 'pretty girls dont eat', 'pr0anna', 'i will be skiny', 'thinsperation', 'thinsp0', 'ed', 'twed', 'tw ed relapse', 'tw ed rant']",[]
"['thinsperation', 'aesthetic', 'pastel', 'photography', 'grunge', 'soft grunge', 'weight', 'disordered eating', 'fashion insperation', 'model thin', 'buliima', 'thin inspo', 'ana', 'pro anoxeria', 'thinspo', 'self harm', 'tw triggers']",[]
"['thinspo', 'thinsperation', 'tw ed', 'bonespo']",[]
"['thinspo', 'thin$po', 'thin$p0', 'thinsperation', 'thighgap', 'th1n$po', 'skinny', 'skinnyyy', 'skinnyinspo', 'sk1nnie', 'low cal meal', 'lowcalmeal', 'low restriction', 'lowrestriction', 'anadiet', 'ed', 'eddiet']",[]
"['thinspo', 'thinsperation', 'tw ed', 'bonespo', 'ed thoughts']",[]
"['my life', 'motivation', 'thinsperation']",[]
"['getting skiny', 'thinsperation', 'block don’t report', 'only pr0 for myself', 'losing weight', 'thin inspo', 'eating problems', 'not pr0 4n4', 'an0r3xia', 'anorecsick', 'anorekic', 'bulimina', 'th1nspiration', '4norex1c', 'e4ting dis0rder']",[]
"['getting skiny', 'thinsperation', 'block don’t report', 'only pr0 for myself', 'losing weight', 'thin inspo', 'eating problems', 'not pr0 4n4', 'an0r3xia', 'anorecsick', 'anorekic', 'bulimina', 'th1nspiration', '4norex1c', 'e4ting dis0rder']",[]
"['thinspo', 'ed thoughts', 'ed ballet', 'tw ed', 'thinsperation']",[]
"['thinkin thots', 'pr04na', 'just pro for myself', 'thinsperation']",[]
"['3dtumblr', '3dtwt', 'thinsperation', '4na fast', 'i will be skiny', 'sk1nny aesthetic']",[]
"['3dtwt', 'thinsperation', 'i will be skiny', 'skinnni', 'sk1nny aesthetic', '4na fast']",[]
"['3dtwt', 'thinsperation', 'ricecaketwt', 'sk1nnie', 'sk1nny aesthetic']",[]
"['thinspo', 'ana', 'notprojusttags', 'eating problems', 'thinsperation', 'ana tips', ""don't eat"", 'skin and bones']",[]
"['thinspo', 'pretty girls dont eat', 'pr0anna', 'i will be skiny', 'thinsperation', 'thinsp0', 'ed', 'twed', 'tw ed relapse', 'tw ed rant']",[]
"['thinsperation', 'aesthetic', 'pastel', 'photography', 'grunge', 'soft grunge', 'weight', 'disordered eating', 'fashion insperation', 'model thin', 'buliima', 'thin inspo', 'ana', 'pro anoxeria', 'thinspo', 'self harm', 'tw triggers']",[]
"['thinspo', 'thinsperation', 'tw ed', 'bonespo']",[]
